Committee Number,Date,Knesset Number,Number Of Male Participants,Number Of Female Participants,Number Of Words Spoken By Males,Males Speaking Average,Number Of Words Spoken By Females,Females Speaking Average,Participants,Json,Json File Name
355,11/05/2002,15,14,2,1209,86,144,72,"['Katz Yossi', 'El-Sana Talab', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Zeev Nissim', 'Sandberg Eliezer', 'Chazan Naomi', 'Yahalom Shaul', 'Cohen Eli', 'Langental Nahum', 'Mahameed Hashem', 'Solodkin Marina', 'Riger Gennady', 'Shtern Yuri']","{'Katz Yossi': 652, 'El-Sana Talab': 0, 'Ariel Uri Yehuda': 0, 'Boim Ze`ev': 188, 'Gafni Moshe': 121, 'Dehamshe Abdulmalik': 0, 'Zeev Nissim': 0, 'Sandberg Eliezer': 67, 'Chazan Naomi': 144, 'Yahalom Shaul': 63, 'Cohen Eli': 64, 'Langental Nahum': 8, 'Mahameed Hashem': 46, 'Solodkin Marina': 0, 'Riger Gennady': 0, 'Shtern Yuri': 0}",15_ptv_494201.json,
356,11/05/2002,15,18,5,1429,79,69,13,"['Katz Yossi', 'Eitan Michael', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Gagula Itzhak', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Sandberg Eliezer', 'Chazan Naomi', 'Yahalom Shaul', 'Yechezkel Avraham', 'Shaban Yitzhak', 'Solodkin Marina', 'Peretz Yair', 'Ronen Nehama', 'Reshef Tzaly', 'Shtern Yuri', 'Gozansky Tamar', 'Vilan Avshalom', 'Zeev Nissim', 'Cohen Eli', 'Noked Orit', 'Shochat Avraham']","{'Katz Yossi': 1076, 'Eitan Michael': 15, 'Ariel Uri Yehuda': 0, 'Boim Ze`ev': 121, 'Gagula Itzhak': 0, 'Gafni Moshe': 71, 'Dehamshe Abdulmalik': 0, 'Sandberg Eliezer': 0, 'Chazan Naomi': 6, 'Yahalom Shaul': 45, 'Yechezkel Avraham': 0, 'Shaban Yitzhak': 0, 'Solodkin Marina': 0, 'Peretz Yair': 4, 'Ronen Nehama': 7, 'Reshef Tzaly': 0, 'Shtern Yuri': 2, 'Gozansky Tamar': 51, 'Vilan Avshalom': 10, 'Zeev Nissim': 18, 'Cohen Eli': 0, 'Noked Orit': 5, 'Shochat Avraham': 67}",15_ptv_494202.json,
357,11/06/2002,15,13,3,1728,132,413,137,"['Katz Yossi', 'Oshaya Efi', 'Boim Ze`ev', 'Gagula Itzhak', 'Galon Zehava', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Hirchson Abraham', 'Sandberg Eliezer', 'Yahalom Shaul', 'Landver Sofa', 'Ronen Nehama', 'Shaban Yitzhak', 'Raz Mossi', 'Kara Ayoob', 'Steinitz Yuval']","{'Katz Yossi': 608, 'Oshaya Efi': 40, 'Boim Ze`ev': 473, 'Gagula Itzhak': 0, 'Galon Zehava': 129, 'Gafni Moshe': 0, 'Dehamshe Abdulmalik': 71, 'Hirchson Abraham': 0, 'Sandberg Eliezer': 96, 'Yahalom Shaul': 74, 'Landver Sofa': 0, 'Ronen Nehama': 284, 'Shaban Yitzhak': 0, 'Raz Mossi': 0, 'Kara Ayoob': 65, 'Steinitz Yuval': 301}",15_ptv_494203.json,
358,11/11/2002,15,9,5,860,95,4,0,"['Katz Yossi', 'Oshaya Efi', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Galon Zehava', 'Sandberg Eliezer', 'Chazan Naomi', 'Yahalom Shaul', 'Maor Anat', 'Solodkin Marina', 'Peretz Yair', 'Peretz Amir', 'Ronen Nehama', 'Reshef Tzaly']","{'Katz Yossi': 740, 'Oshaya Efi': 0, 'Ariel Uri Yehuda': 0, 'Boim Ze`ev': 7, 'Galon Zehava': 0, 'Sandberg Eliezer': 0, 'Chazan Naomi': 0, 'Yahalom Shaul': 113, 'Maor Anat': 4, 'Solodkin Marina': 0, 'Peretz Yair': 0, 'Peretz Amir': 0, 'Ronen Nehama': 0, 'Reshef Tzaly': 0}",15_ptv_494204.json,
36,11/12/2002,15,9,2,351,39,0,0,"['Yahalom Shaul', 'Eitan Michael', 'Boim Ze`ev', 'Gagula Itzhak', 'Gafni Moshe', 'Chazan Naomi', 'Tal David', 'Katz Yossi', 'Maor Anat', 'Peretz Yair', 'Shtern Yuri']","{'Yahalom Shaul': 351, 'Eitan Michael': 0, 'Boim Ze`ev': 0, 'Gagula Itzhak': 0, 'Gafni Moshe': 0, 'Chazan Naomi': 0, 'Tal David': 0, 'Katz Yossi': 0, 'Maor Anat': 0, 'Peretz Yair': 0, 'Shtern Yuri': 0}",15_ptv_494205.json,
361,11/12/2002,15,10,1,138,13,0,0,"['Yahalom Shaul', 'Eitan Michael', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Gafni Moshe', 'Sandberg Eliezer', 'Shaban Yitzhak', 'Solodkin Marina', 'Peretz Yair', 'Reshef Tzaly', 'Shtern Yuri']","{'Yahalom Shaul': 135, 'Eitan Michael': 0, 'Ariel Uri Yehuda': 0, 'Boim Ze`ev': 0, 'Gafni Moshe': 3, 'Sandberg Eliezer': 0, 'Shaban Yitzhak': 0, 'Solodkin Marina': 0, 'Peretz Yair': 0, 'Reshef Tzaly': 0, 'Shtern Yuri': 0}",15_ptv_494206.json,
362,11/13/2002,15,2,2,220,110,21,10,"['Katz Yossi', 'Gafni Moshe', 'Naot Yehudith', 'Solodkin Marina']","{'Katz Yossi': 220, 'Gafni Moshe': 0, 'Naot Yehudith': 0, 'Solodkin Marina': 21}",15_ptv_494207.json,
363,11/13/2002,15,1,0,100,100,0,0,"['Katz Yossi']","{'Katz Yossi': 100}",15_ptv_494208.json,
364,12/10/2002,15,3,0,108,36,0,0,"['Peretz Yair', 'Gagula Itzhak', 'Mahameed Hashem']","{'Peretz Yair': 108, 'Gagula Itzhak': 0, 'Mahameed Hashem': 0}",15_ptv_494209.json,
365,12/16/2002,15,10,2,1086,108,138,69,"['Katz Yossi', 'Oshaya Efi', 'Boim Ze`ev', 'Katz Israel', 'Eitan Michael', 'Gagula Itzhak', 'Chazan Naomi', 'Solodkin Marina', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Ariel Uri Yehuda', 'Shtern Yuri']","{'Katz Yossi': 759, 'Oshaya Efi': 126, 'Boim Ze`ev': 98, 'Katz Israel': 0, 'Eitan Michael': 31, 'Gagula Itzhak': 7, 'Chazan Naomi': 138, 'Solodkin Marina': 0, 'Gafni Moshe': 65, 'Dehamshe Abdulmalik': 0, 'Ariel Uri Yehuda': 0, 'Shtern Yuri': 0}",15_ptv_494210.json,
366,12/16/2002,15,16,1,583,36,0,0,"['Katz Yossi', 'Eitan Michael', 'Boim Ze`ev', 'Dehamshe Abdulmalik', 'Hirchson Abraham', 'Sandberg Eliezer', 'Chazan Naomi', 'Cohen Amnon', 'Katz Israel', 'Peretz Yair', 'Shtern Yuri', 'Orlev Zevulun', 'Vilan Avshalom', 'Hugi Ofer', 'Melloul Rahamim', 'Nudelman Michael', 'Riger Gennady']","{'Katz Yossi': 262, 'Eitan Michael': 0, 'Boim Ze`ev': 0, 'Dehamshe Abdulmalik': 0, 'Hirchson Abraham': 0, 'Sandberg Eliezer': 0, 'Chazan Naomi': 0, 'Cohen Amnon': 0, 'Katz Israel': 0, 'Peretz Yair': 0, 'Shtern Yuri': 75, 'Orlev Zevulun': 242, 'Vilan Avshalom': 2, 'Hugi Ofer': 0, 'Melloul Rahamim': 2, 'Nudelman Michael': 0, 'Riger Gennady': 0}",15_ptv_494211.json,
367,12/17/2002,15,15,3,961,64,28,9,"['Oshaya Efi', 'Ariel Uri Yehuda', 'Boim Ze`ev', 'Barakeh Mohammad', 'Galon Zehava', 'Gafni Moshe', 'Dehamshe Abdulmalik', 'Hirchson Abraham', 'Sandberg Eliezer', 'Chazan Naomi', 'Hugi Ofer', 'Cohen Eliezer', 'Cohen Amnon', 'Litzman Yakov', 'Landver Sofa', 'Lasry Yechiel', 'Melloul Rahamim', 'Peretz Yair']","{'Oshaya Efi': 614, 'Ariel Uri Yehuda': 3, 'Boim Ze`ev': 3, 'Barakeh Mohammad': 4, 'Galon Zehava': 28, 'Gafni Moshe': 34, 'Dehamshe Abdulmalik': 98, 'Hirchson Abraham': 89, 'Sandberg Eliezer': 14, 'Chazan Naomi': 0, 'Hugi Ofer': 0, 'Cohen Eliezer': 0, 'Cohen Amnon': 0, 'Litzman Yakov': 102, 'Landver Sofa': 0, 'Lasry Yechiel': 0, 'Melloul Rahamim': 0, 'Peretz Yair': 0}",15_ptv_494212.json,
368,12/24/2002,15,3,2,1233,411,160,80,"['Katz Yossi', 'Ariel Uri Yehuda', 'Gagula Itzhak', 'Galon Zehava', 'Chazan Naomi']","{'Katz Yossi': 668, 'Ariel Uri Yehuda': 530, 'Gagula Itzhak': 35, 'Galon Zehava': 148, 'Chazan Naomi': 12}",15_ptv_494213.json,
369,12/24/2002,15,6,3,297,49,36,12,"['Katz Yossi', 'Galon Zehava', 'Chazan Naomi', 'Ariel Uri Yehuda', 'Bibi Yigal', 'Dayan Yael', 'Zeev Nissim', 'Halpert Shmuel', 'Kara Ayoob']","{'Katz Yossi': 242, 'Galon Zehava': 22, 'Chazan Naomi': 8, 'Ariel Uri Yehuda': 30, 'Bibi Yigal': 16, 'Dayan Yael': 6, 'Zeev Nissim': 9, 'Halpert Shmuel': 0, 'Kara Ayoob': 0}",15_ptv_494214.json,
2929,03/06/2002,15,4,2,2144,536,730,365,"['Katz Yossi', 'Eitan Michael', 'Boim Ze`ev', 'Galon Zehava', 'Yahalom Shaul', 'Naot Yehudith']","{'Katz Yossi': 1245, 'Eitan Michael': 59, 'Boim Ze`ev': 154, 'Galon Zehava': 81, 'Yahalom Shaul': 686, 'Naot Yehudith': 649}",15_ptv_572384.json,
2,12/05/2000,15,1,1,1383,1383,1159,1159,"['Sandberg Eliezer', 'Chazan Naomi']","{'Sandberg Eliezer': 1383, 'Chazan Naomi': 1159}",15_ptv_643666.json,
,02/08/2001,15,1,0,4598,4598,0,0,"['Sandberg Eliezer']","{'Sandberg Eliezer': 4598}",15_ptv_643667.json,
3,12/19/2000,15,1,0,5137,5137,0,0,"['Sandberg Eliezer']","{'Sandberg Eliezer': 5137}",15_ptv_643668.json,
5,3/20/2001,15,1,0,5244,5244,0,0,"['Sandberg Eliezer']","{'Sandberg Eliezer': 5244}",15_ptv_643669.json,
16,07/04/2005,16,7,0,1170,167,0,0,"['Bar-On Ronnie', 'Edelstein Yuli-Yoel', 'Oron Chaim', 'Elon Benyamin', 'Benlolo Daniel', 'Yatom Dani', 'Shochat Avraham']","{'Bar-On Ronnie': 852, 'Edelstein Yuli-Yoel': 0, 'Oron Chaim': 196, 'Elon Benyamin': 0, 'Benlolo Daniel': 0, 'Yatom Dani': 122, 'Shochat Avraham': 0}",16_ptv_130969.json,
17,7/12/2005,16,1,0,992,992,0,0,"['Chayne Reshef']","{'Chayne Reshef': 992}",16_ptv_130981.json,
18,7/19/2005,16,1,0,2202,2202,0,0,"['Chayne Reshef']","{'Chayne Reshef': 2202}",16_ptv_130982.json,
17,10/16/2005,16,3,0,1129,376,0,0,"['Bar-On Ronnie', 'Edelstein Yuli-Yoel', 'Yahalom Shaul']","{'Bar-On Ronnie': 965, 'Edelstein Yuli-Yoel': 29, 'Yahalom Shaul': 135}",16_ptv_131133.json,
18,12/06/2005,16,5,0,2442,488,0,0,"['Bar-On Ronnie', 'Edelstein Yuli-Yoel', 'Oron Chaim', 'Yahalom Shaul', 'Rassabi Ehud']","{'Bar-On Ronnie': 1861, 'Edelstein Yuli-Yoel': 0, 'Oron Chaim': 179, 'Yahalom Shaul': 246, 'Rassabi Ehud': 156}",16_ptv_131480.json,
9,3/2/2004,16,1,0,3900,3900,0,0,"['Chayne Reshef']","{'Chayne Reshef': 3900}",16_ptv_491683.json,
171,11/1/2004,16,7,1,1108,158,0,0,"['Bar-On Ronnie', 'Eitan Michael', 'Gavriely Inbal', 'Hendel Zvi', 'Chayne Reshef', 'Sa`ar Gideon', 'Porush Meir', 'Sharon Omri']","{'Bar-On Ronnie': 1006, 'Eitan Michael': 0, 'Gavriely Inbal': 0, 'Hendel Zvi': 16, 'Chayne Reshef': 31, 'Sa`ar Gideon': 0, 'Porush Meir': 55, 'Sharon Omri': 0}",16_ptv_492011.json,
17,5/26/2003,16,12,2,2949,245,147,73,"['Bar-On Ronnie', 'Edelstein Yuli-Yoel', 'Itzik Dalia', 'Eitan Michael', 'Benlolo Daniel', 'Gorlovsky Michael', 'Galon Zehava', 'Chayne Reshef', 'Tibi Ahmad', 'Yahalom Shaul', 'Sa`ar Gideon', 'Porush Meir', 'Peretz Yair', 'Shtern Yuri']","{'Bar-On Ronnie': 1472, 'Edelstein Yuli-Yoel': 0, 'Itzik Dalia': 147, 'Eitan Michael': 245, 'Benlolo Daniel': 0, 'Gorlovsky Michael': 2, 'Galon Zehava': 0, 'Chayne Reshef': 170, 'Tibi Ahmad': 85, 'Yahalom Shaul': 151, 'Sa`ar Gideon': 605, 'Porush Meir': 215, 'Peretz Yair': 0, 'Shtern Yuri': 4}",16_ptv_493046.json,
21,02/14/2005,16,5,1,502,100,17,17,"['Bar-On Ronnie', 'Galon Zehava', 'Chayne Reshef', 'Sa`ar Gideon', 'Porush Meir', 'Sharon Omri']","{'Bar-On Ronnie': 483, 'Galon Zehava': 17, 'Chayne Reshef': 0, 'Sa`ar Gideon': 19, 'Porush Meir': 0, 'Sharon Omri': 0}",16_ptv_493218.json,
25,01/31/2005,16,10,2,4374,437,531,265,"['Bar-On Ronnie', 'Barakeh Mohammad', 'Gavriely Inbal', 'Gorlovsky Michael', 'Dahan Nissim', 'Chayne Reshef', 'Tal David', 'Yahalom Shaul', 'Cabel Eitan', 'Cohen Ilana', 'Cohen Ran', 'Poraz Avraham']","{'Bar-On Ronnie': 2575, 'Barakeh Mohammad': 106, 'Gavriely Inbal': 293, 'Gorlovsky Michael': 0, 'Dahan Nissim': 234, 'Chayne Reshef': 223, 'Tal David': 0, 'Yahalom Shaul': 323, 'Cabel Eitan': 308, 'Cohen Ilana': 238, 'Cohen Ran': 0, 'Poraz Avraham': 605}",16_ptv_499931.json,
133,06/01/2004,16,10,2,4200,420,428,214,"['Bar-On Ronnie', 'Edelstein Yuli-Yoel', 'Benlolo Daniel', 'Brison Ronny A.', 'Gavriely Inbal', 'Galon Zehava', 'Chayne Reshef', 'Yahalom Shaul', 'Yatom Ehud', 'Sa`ar Gideon', 'Porush Meir', 'Sharon Omri']","{'Bar-On Ronnie': 3136, 'Edelstein Yuli-Yoel': 0, 'Benlolo Daniel': 0, 'Brison Ronny A.': 85, 'Gavriely Inbal': 166, 'Galon Zehava': 262, 'Chayne Reshef': 319, 'Yahalom Shaul': 211, 'Yatom Ehud': 0, 'Sa`ar Gideon': 2, 'Porush Meir': 279, 'Sharon Omri': 168}",16_ptv_499932.json,
143,06/29/2004,16,26,4,6117,235,439,109,"['Bar-On Ronnie', 'Avital Colette', 'Edelstein Yuli-Yoel', 'Eichler Israel', 'Brison Ronny A.', 'Barakeh Mohammad', 'Gavriely Inbal', 'Dahan Nissim', 'Doron Chemi', 'Hendel Zvi', 'Vilan Avshalom', 'Chayne Reshef', 'Tibi Ahmad', 'Tal David', 'Yasinov Igal', 'Yahalom Shaul', 'Yatom Ehud', 'Cabel Eitan', 'Cohen Eliezer', 'Kahlon Moshe', 'Melchior Michael', 'Solodkin Marina', 'Slomiansky Nissan', 'Pines-Paz Ophir', 'Finkelstein Gila', 'Porush Meir', 'Peretz Yair', 'Kara Ayoob', 'Rassabi Ehud', 'Sharon Omri']","{'Bar-On Ronnie': 3366, 'Avital Colette': 119, 'Edelstein Yuli-Yoel': 0, 'Eichler Israel': 0, 'Brison Ronny A.': 0, 'Barakeh Mohammad': 140, 'Gavriely Inbal': 320, 'Dahan Nissim': 0, 'Doron Chemi': 515, 'Hendel Zvi': 0, 'Vilan Avshalom': 179, 'Chayne Reshef': 480, 'Tibi Ahmad': 0, 'Tal David': 0, 'Yasinov Igal': 228, 'Yahalom Shaul': 275, 'Yatom Ehud': 0, 'Cabel Eitan': 245, 'Cohen Eliezer': 111, 'Kahlon Moshe': 0, 'Melchior Michael': 307, 'Solodkin Marina': 0, 'Slomiansky Nissan': 0, 'Pines-Paz Ophir': 0, 'Finkelstein Gila': 0, 'Porush Meir': 0, 'Peretz Yair': 0, 'Kara Ayoob': 0, 'Rassabi Ehud': 271, 'Sharon Omri': 0}",16_ptv_499933.json,
145,07/06/2004,16,14,2,2929,209,360,180,"['Bar-On Ronnie', 'Edelstein Yuli-Yoel', 'Oron Chaim', 'Eitan Michael', 'Chayne Reshef', 'Tal David', 'Yahalom Shaul', 'Cohen Eliezer', 'Livni Eti', 'Sa`ar Gideon', 'Porush Meir', 'Peretz Yair', 'Peretz Amir', 'Kara Ayoob', 'Sharon Omri', 'Tamir Yuli']","{'Bar-On Ronnie': 786, 'Edelstein Yuli-Yoel': 0, 'Oron Chaim': 615, 'Eitan Michael': 241, 'Chayne Reshef': 226, 'Tal David': 236, 'Yahalom Shaul': 315, 'Cohen Eliezer': 70, 'Livni Eti': 87, 'Sa`ar Gideon': 125, 'Porush Meir': 85, 'Peretz Yair': 0, 'Peretz Amir': 225, 'Kara Ayoob': 0, 'Sharon Omri': 5, 'Tamir Yuli': 273}",16_ptv_499934.json,
168,10/25/2004,16,7,0,2356,336,0,0,"['Bar-On Ronnie', 'Edelstein Yuli-Yoel', 'Brison Ronny A.', 'Chayne Reshef', 'Tibi Ahmad', 'Sa`ar Gideon', 'Porush Meir']","{'Bar-On Ronnie': 1597, 'Edelstein Yuli-Yoel': 142, 'Brison Ronny A.': 155, 'Chayne Reshef': 412, 'Tibi Ahmad': 0, 'Sa`ar Gideon': 0, 'Porush Meir': 50}",16_ptv_499935.json,
23,01/24/2005,16,3,0,1276,425,0,0,"['Bar-On Ronnie', 'Edelstein Yuli-Yoel', 'Sa`ar Gideon']","{'Bar-On Ronnie': 1180, 'Edelstein Yuli-Yoel': 0, 'Sa`ar Gideon': 96}",16_ptv_499937.json,
1,03/17/2003,16,6,0,828,138,0,0,"['Bar-On Ronnie', 'Edelstein Yuli-Yoel', 'Peretz Yair', 'Benlolo Daniel', 'Nudelman Michael', 'Rassabi Ehud']","{'Bar-On Ronnie': 513, 'Edelstein Yuli-Yoel': 26, 'Peretz Yair': 4, 'Benlolo Daniel': 0, 'Nudelman Michael': 0, 'Rassabi Ehud': 285}",16_ptv_499970.json,
2,05/20/2003,16,3,0,128,42,0,0,"['Bar-On Ronnie', 'Yahalom Shaul', 'Nudelman Michael']","{'Bar-On Ronnie': 42, 'Yahalom Shaul': 62, 'Nudelman Michael': 24}",16_ptv_499971.json,
5,12/15/2003,16,4,0,1945,486,0,0,"['Bar-On Ronnie', 'Edelstein Yuli-Yoel', 'Aflalo Eli', 'Nudelman Michael']","{'Bar-On Ronnie': 1941, 'Edelstein Yuli-Yoel': 0, 'Aflalo Eli': 2, 'Nudelman Michael': 2}",16_ptv_499973.json,
4,8/12/2003,16,1,0,1497,1497,0,0,"['Bar-On Ronnie']","{'Bar-On Ronnie': 1497}",16_ptv_499974.json,
6,12/24/2003,16,14,0,833,59,0,0,"['Bar-On Ronnie', 'Edelstein Yuli-Yoel', 'Yatom Dani', 'Peretz Yair', 'Benlolo Daniel', 'Nudelman Michael', 'Rassabi Ehud', 'Sa`ar Gideon', 'Pines-Paz Ophir', 'Gorlovsky Michael', 'Vilan Avshalom', 'Slomiansky Nissan', 'Brison Ronny A.', 'Sharon Omri']","{'Bar-On Ronnie': 72, 'Edelstein Yuli-Yoel': 202, 'Yatom Dani': 374, 'Peretz Yair': 7, 'Benlolo Daniel': 0, 'Nudelman Michael': 69, 'Rassabi Ehud': 0, 'Sa`ar Gideon': 0, 'Pines-Paz Ophir': 0, 'Gorlovsky Michael': 1, 'Vilan Avshalom': 0, 'Slomiansky Nissan': 94, 'Brison Ronny A.': 0, 'Sharon Omri': 14}",16_ptv_499985.json,
7,02/25/2004,16,3,0,439,146,0,0,"['Bar-On Ronnie', 'Edelstein Yuli-Yoel', 'Oron Chaim']","{'Bar-On Ronnie': 29, 'Edelstein Yuli-Yoel': 0, 'Oron Chaim': 410}",16_ptv_499986.json,
8,12/24/2003,16,6,0,774,129,0,0,"['Bar-On Ronnie', 'Edelstein Yuli-Yoel', 'Oron Chaim', 'Herzog Isaac', 'Nudelman Michael', 'Peretz Yair']","{'Bar-On Ronnie': 628, 'Edelstein Yuli-Yoel': 142, 'Oron Chaim': 4, 'Herzog Isaac': 0, 'Nudelman Michael': 0, 'Peretz Yair': 0}",16_ptv_499987.json,
9,07/14/2004,16,6,0,314,52,0,0,"['Bar-On Ronnie', 'Edelstein Yuli-Yoel', 'Yahalom Shaul', 'Yatom Dani', 'Peretz Yair', 'Rassabi Ehud']","{'Bar-On Ronnie': 292, 'Edelstein Yuli-Yoel': 0, 'Yahalom Shaul': 21, 'Yatom Dani': 0, 'Peretz Yair': 1, 'Rassabi Ehud': 0}",16_ptv_499989.json,
11,10/12/2004,16,6,0,1634,272,0,0,"['Bar-On Ronnie', 'Edelstein Yuli-Yoel', 'Elon Benyamin', 'Yahalom Shaul', 'Peretz Yair', 'Rassabi Ehud']","{'Bar-On Ronnie': 1333, 'Edelstein Yuli-Yoel': 0, 'Elon Benyamin': 0, 'Yahalom Shaul': 115, 'Peretz Yair': 0, 'Rassabi Ehud': 186}",16_ptv_499992.json,
1,07/21/2004,16,4,0,985,246,0,0,"['Bar-On Ronnie', 'Edelstein Yuli-Yoel', 'Benlolo Daniel', 'Yatom Dani']","{'Bar-On Ronnie': 881, 'Edelstein Yuli-Yoel': 0, 'Benlolo Daniel': 0, 'Yatom Dani': 104}",16_ptv_499993.json,
12,12/28/2004,16,2,0,204,102,0,0,"['Bar-On Ronnie', 'Yahalom Shaul']","{'Bar-On Ronnie': 165, 'Yahalom Shaul': 39}",16_ptv_499994.json,
14,12/07/2004,16,1,0,3325,3325,0,0,"['Chayne Reshef']","{'Chayne Reshef': 3325}",16_ptv_500018.json,
16,03/15/2005,16,1,0,2930,2930,0,0,"['Chayne Reshef']","{'Chayne Reshef': 2930}",16_ptv_500019.json,
11,5/17/2004,16,1,0,2140,2140,0,0,"['Chayne Reshef']","{'Chayne Reshef': 2140}",16_ptv_500023.json,
17,02/25/2004,16,6,1,3571,595,0,0,"['Bar-On Ronnie', 'Edelstein Yuli-Yoel', 'Gavriely Inbal', 'Vilan Avshalom', 'Sa`ar Gideon', 'Porush Meir', 'Sharon Omri']","{'Bar-On Ronnie': 1313, 'Edelstein Yuli-Yoel': 0, 'Gavriely Inbal': 0, 'Vilan Avshalom': 479, 'Sa`ar Gideon': 841, 'Porush Meir': 871, 'Sharon Omri': 67}",16_ptv_500026.json,
7,12/09/2003,16,1,0,3514,3514,0,0,"['Chayne Reshef']","{'Chayne Reshef': 3514}",16_ptv_500029.json,
3,11/02/2003,16,2,0,2417,1208,0,0,"['Chayne Reshef', 'Bar-On Ronnie']","{'Chayne Reshef': 2417, 'Bar-On Ronnie': 0}",16_ptv_500036.json,
4,11/9/2003,16,1,0,2362,2362,0,0,"['Chayne Reshef']","{'Chayne Reshef': 2362}",16_ptv_500037.json,
15,3/8/2005,16,1,0,2856,2856,0,0,"['Chayne Reshef']","{'Chayne Reshef': 2856}",16_ptv_500044.json,
258,07/27/2005,16,14,1,2691,192,99,99,"['Bar-On Ronnie', 'Orlev Zevulun', 'Benizri Shlomo', 'Gorlovsky Michael', 'Galon Zehava', 'Chayne Reshef', 'Tibi Ahmad', 'Cohen Eliezer', 'Litzman Yakov', 'Sneh Ephraim', 'Sa`ar Gideon', 'Porush Meir', 'Peretz Yair', 'Shtern Yuri', 'Sharon Omri']","{'Bar-On Ronnie': 1211, 'Orlev Zevulun': 768, 'Benizri Shlomo': 464, 'Gorlovsky Michael': 0, 'Galon Zehava': 99, 'Chayne Reshef': 29, 'Tibi Ahmad': 0, 'Cohen Eliezer': 0, 'Litzman Yakov': 18, 'Sneh Ephraim': 14, 'Sa`ar Gideon': 22, 'Porush Meir': 135, 'Peretz Yair': 0, 'Shtern Yuri': 30, 'Sharon Omri': 0}",16_ptv_500045.json,
1,07/08/2003,16,4,0,1018,254,0,0,"['Chayne Reshef', 'Bar-On Ronnie', 'Tibi Ahmad', 'Porush Meir']","{'Chayne Reshef': 988, 'Bar-On Ronnie': 0, 'Tibi Ahmad': 0, 'Porush Meir': 30}",16_ptv_500050.json,
2,07/13/2003,16,2,0,3298,1649,0,0,"['Chayne Reshef', 'Sa`ar Gideon']","{'Chayne Reshef': 3047, 'Sa`ar Gideon': 251}",16_ptv_500051.json,
19,08/03/2005,16,1,0,3904,3904,0,0,"['Chayne Reshef']","{'Chayne Reshef': 3904}",16_ptv_500052.json,
5,11/16/2003,16,1,0,3013,3013,0,0,"['Chayne Reshef']","{'Chayne Reshef': 3013}",16_ptv_500057.json,
147,07/12/2004,16,22,6,2989,135,50,8,"['Bar-On Ronnie', 'Avraham Balila Ruhama', 'Edelstein Yuli-Yoel', 'Itzik Dalia', 'Aflalo Eli', 'Benlolo Daniel', 'Brison Ronny A.', 'Gavriely Inbal', 'Gorlovsky Michael', 'Galon Zehava', 'Hendel Zvi', 'Herzog Isaac', 'Chayne Reshef', 'Tibi Ahmad', 'Yatom Dani', 'Cohen Eliezer', 'Noked Orit', 'Nahari Meshulam', 'Solodkin Marina', 'Slomiansky Nissan', 'Sa`ar Gideon', 'Peretz Yair', 'Peretz Amir', 'Porush Meir', 'Sharon Omri', 'Hirchson Abraham', 'Steinitz Yuval', 'Shalgi Ilan']","{'Bar-On Ronnie': 1510, 'Avraham Balila Ruhama': 0, 'Edelstein Yuli-Yoel': 0, 'Itzik Dalia': 0, 'Aflalo Eli': 0, 'Benlolo Daniel': 0, 'Brison Ronny A.': 0, 'Gavriely Inbal': 0, 'Gorlovsky Michael': 0, 'Galon Zehava': 50, 'Hendel Zvi': 0, 'Herzog Isaac': 555, 'Chayne Reshef': 99, 'Tibi Ahmad': 0, 'Yatom Dani': 10, 'Cohen Eliezer': 0, 'Noked Orit': 0, 'Nahari Meshulam': 217, 'Solodkin Marina': 0, 'Slomiansky Nissan': 0, 'Sa`ar Gideon': 131, 'Peretz Yair': 0, 'Peretz Amir': 292, 'Porush Meir': 98, 'Sharon Omri': 20, 'Hirchson Abraham': 17, 'Steinitz Yuval': 0, 'Shalgi Ilan': 40}",16_ptv_500060.json,
216,03/01/2005,16,7,1,2224,317,75,75,"['Bar-On Ronnie', 'Edelstein Yuli-Yoel', 'Gavriely Inbal', 'Chayne Reshef', 'Tibi Ahmad', 'Yahalom Shaul', 'Sa`ar Gideon', 'Porush Meir']","{'Bar-On Ronnie': 1812, 'Edelstein Yuli-Yoel': 35, 'Gavriely Inbal': 75, 'Chayne Reshef': 0, 'Tibi Ahmad': 113, 'Yahalom Shaul': 210, 'Sa`ar Gideon': 0, 'Porush Meir': 54}",16_ptv_500065.json,
